timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1760538193389,3667,HTTP Request - 1,200,OK,Thread Group 1-1,text,true,,132737,240,4,4,https://freshpack.com.bd/,1117,0,342
1760538193389,1117,HTTP Request - 1-0,301,Moved Permanently,Thread Group 1-1,text,true,,375,122,4,4,http://www.freshpack.com.bd/,1117,0,342
1760538194508,2548,HTTP Request - 1-1,200,OK,Thread Group 1-1,text,true,,132362,118,4,4,https://freshpack.com.bd/,1513,0,726
1760538197057,2883,HTTP Request - 2,200,OK,Thread Group 1-1,text,true,,132683,240,5,5,https://freshpack.com.bd/,855,0,0
1760538197057,855,HTTP Request - 2-0,301,Moved Permanently,Thread Group 1-1,text,true,,348,122,5,5,http://www.freshpack.com.bd/,855,0,0
1760538197912,2028,HTTP Request - 2-1,200,OK,Thread Group 1-1,text,true,,132335,118,5,5,https://freshpack.com.bd/,896,0,0
1760538195395,6792,HTTP Request - 1,200,OK,Thread Group 1-2,text,true,,132737,240,5,5,https://freshpack.com.bd/,1056,0,351
1760538195395,1056,HTTP Request - 1-0,301,Moved Permanently,Thread Group 1-2,text,true,,375,122,5,5,http://www.freshpack.com.bd/,1056,0,351
1760538196451,5736,HTTP Request - 1-1,200,OK,Thread Group 1-2,text,true,,132362,118,5,5,https://freshpack.com.bd/,1956,0,675
1760538199395,4134,HTTP Request - 1,200,OK,Thread Group 1-4,text,true,,132737,240,6,6,https://freshpack.com.bd/,1155,0,436
1760538199395,1155,HTTP Request - 1-0,301,Moved Permanently,Thread Group 1-4,text,true,,375,122,6,6,http://www.freshpack.com.bd/,1155,0,436
1760538200551,2978,HTTP Request - 1-1,200,OK,Thread Group 1-4,text,true,,132362,118,6,6,https://freshpack.com.bd/,1794,0,806
1760538197406,8515,HTTP Request - 1,200,OK,Thread Group 1-3,text,true,,132737,240,7,7,https://freshpack.com.bd/,1047,0,345
1760538197406,1047,HTTP Request - 1-0,301,Moved Permanently,Thread Group 1-3,text,true,,375,122,7,7,http://www.freshpack.com.bd/,1047,0,345
1760538198455,7466,HTTP Request - 1-1,200,OK,Thread Group 1-3,text,true,,132362,118,7,7,https://freshpack.com.bd/,4380,0,3020
1760538201384,5017,HTTP Request - 1,200,OK,Thread Group 1-5,text,true,,132737,240,8,8,https://freshpack.com.bd/,2145,0,1345
1760538201384,2145,HTTP Request - 1-0,301,Moved Permanently,Thread Group 1-5,text,true,,375,122,8,8,http://www.freshpack.com.bd/,2145,0,1345
1760538203528,2873,HTTP Request - 1-1,200,OK,Thread Group 1-5,text,true,,132362,118,8,8,https://freshpack.com.bd/,1837,0,725
1760538203391,4280,HTTP Request - 1,200,OK,Thread Group 1-6,text,true,,132737,240,8,8,https://freshpack.com.bd/,1149,0,354
1760538203391,1149,HTTP Request - 1-0,301,Moved Permanently,Thread Group 1-6,text,true,,375,122,8,8,http://www.freshpack.com.bd/,1149,0,354
1760538204541,3130,HTTP Request - 1-1,200,OK,Thread Group 1-6,text,true,,132362,118,8,8,https://freshpack.com.bd/,1547,0,833
1760538206403,2557,HTTP Request - 2,200,OK,Thread Group 1-5,text,true,,132683,240,9,9,https://freshpack.com.bd/,811,0,0
1760538206403,811,HTTP Request - 2-0,301,Moved Permanently,Thread Group 1-5,text,true,,348,122,9,9,http://www.freshpack.com.bd/,811,0,0
1760538207214,1746,HTTP Request - 2-1,200,OK,Thread Group 1-5,text,true,,132335,118,9,9,https://freshpack.com.bd/,1090,0,0
